arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324080.51467,128,BTC-USD,7,2026-04-04 17:34:40.514669895+00:00,36.15880012512207,55.087995529174805,190.0210117964647,-0.09961632782130522,False,before
1775324080.564641,129,BTC-USD,7,2026-04-04 17:34:40.564640999+00:00,49.97110366821289,38.68443965911865,149.25251430018724,0.07562126549100338,False,before
1775324080.614146,130,BTC-USD,6,2026-04-04 17:34:40.614145994+00:00,49.504995346069336,39.66717720031738,149.15681335286746,0.06595621027702002,False,before
1775324080.712958,131,BTC-USD,3,2026-04-04 17:34:40.712958097+00:00,98.81210327148438,41.638779640197754,149.27639207414148,0.38300311815474614,False,before
1775324080.7598689,132,BTC-USD,9,2026-04-04 17:34:40.759868860+00:00,46.910762786865234,42.5718355178833,149.15821711739932,0.02908942834551887,False,before
1775324080.864005,133,BTC-USD,6,2026-04-04 17:34:40.864005089+00:00,104.13622856140137,44.649200439453125,149.28026642190582,0.3984922424630597,False,before
1775324080.915074,134,BTC-USD,10,2026-04-04 17:34:40.915074110+00:00,51.069021224975586,45.66664218902588,149.14441364170264,0.036222469913812005,False,before
1775324080.961086,135,BTC-USD,2,2026-04-04 17:34:40.961086035+00:00,46.011924743652344,46.58274173736572,149.00009062795334,-0.0038309842048263164,False,before
1775324081.0142028,136,BTC-USD,12,2026-04-04 17:34:41.014202833+00:00,53.116798400878906,47.641334533691406,148.8516886973613,0.03678469431623293,False,before
1775324081.061385,137,BTC-USD,6,2026-04-04 17:34:41.061384916+00:00,47.18208312988281,48.58019828796387,148.694563162817,-0.009402597703253966,False,before
1775324081.110715,138,BTC-USD,3,2026-04-04 17:34:41.110714912+00:00,49.32999610900879,49.56305980682373,148.5304843709505,-0.0015691303963762194,False,before
1775324081.165086,139,BTC-USD,14,2026-04-04 17:34:41.165086031+00:00,54.37111854553223,50.64623832702637,148.3606251829457,0.025106932610405582,False,before
1775324081.214593,140,BTC-USD,15,2026-04-04 17:34:41.214592934+00:00,49.50690269470215,51.631736755371094,148.18245927091627,-0.014339308924440195,False,before
1775324081.2652428,141,BTC-USD,7,2026-04-04 17:34:41.265242815+00:00,50.64988136291504,52.641215324401855,147.99657570109218,-0.013455270515911813,False,before
1775324081.3114629,142,BTC-USD,3,2026-04-04 17:34:41.311462879+00:00,46.22006416320801,53.56224060058594,147.80653357563685,-0.049674234688825356,False,before
1775324081.365132,143,BTC-USD,4,2026-04-04 17:34:41.365132093+00:00,53.66921424865723,54.63236331939697,147.60558861943503,-0.006525153144593941,False,before
1775324081.411307,144,BTC-USD,2,2026-04-04 17:34:41.411307096+00:00,46.17500305175781,54.99989986419678,147.5602802427563,-0.059805367663444624,False,before
1775324081.464175,145,BTC-USD,3,2026-04-04 17:34:41.464174986+00:00,52.867889404296875,55.01810073852539,147.5599534863722,-0.014571781051876632,False,before
1775324081.5127192,146,BTC-USD,2,2026-04-04 17:34:41.512719154+00:00,48.54416847229004,54.966702461242676,147.56178865777943,-0.043524370688183864,False,before
1775324081.560491,147,BTC-USD,1,2026-04-04 17:34:41.560491085+00:00,47.77193069458008,54.90568161010742,147.56416799965365,-0.04834338181301634,False,before
1775324081.614049,148,BTC-USD,8,2026-04-04 17:34:41.614048958+00:00,53.5578727722168,53.9695405960083,147.41828979317566,-0.0027925152595994975,False,before
1775324081.712929,149,BTC-USD,2,2026-04-04 17:34:41.712929010+00:00,98.88005256652832,54.97069835662842,147.55253639779824,0.29758454366057996,False,before
1775324081.759886,150,BTC-USD,1,2026-04-04 17:34:41.759886026+00:00,46.95701599121094,40.02943992614746,101.97280348746227,0.06793552622013804,False,before
1775324082.5217862,151,BTC-USD,4,2026-04-04 17:34:42.521786213+00:00,761.9001865386963,55.2595853805542,144.09836733687416,4.903876526971001,True,before
1775324083.442962,152,BTC-USD,1,2026-04-04 17:34:43.442961931+00:00,921.1757183074951,73.67743968963623,188.83531810125666,4.488028442663549,True,before
1775324083.4432158,153,BTC-USD,3,2026-04-04 17:34:43.443215847+00:00,0.25391578674316406,73.67811679840088,188.83504938942733,-0.3888271867381875,False,before
